y_true,Concrete_Class,y_cb_standard,y_cb_group
40.5,25,38.311943763652415,40.493846164724765
44.9,25,44.433073341232316,44.368682529133096
44.3,25,44.36850365181091,44.103945789837
44.3,25,42.88327308258269,43.458781685049146
45.6,25,46.823548001964774,44.382659838395554
42.7,25,44.98197672635617,43.52014400143162
42.8,25,41.60815298338021,43.160187277518
44.0,25,44.318663380579295,43.601962509928214
36.9,25,39.495871485033405,40.49500611296798
39.2,25,40.49195015818612,40.54394426227397
43.7,25,48.06738376198482,46.3196837373459
46.0,25,46.9609922735522,44.47291293598564
42.7,25,46.525432110979665,44.55849466493177
46.7,25,44.21835152052567,44.79066930737265
39.7,25,39.432748518080814,42.583784550106216
43.4,25,43.47902991460407,42.91058057049837
45.6,25,40.17817887286994,41.509271269496054
38.3,25,40.822342283672675,43.43587140119433
47.0,25,50.17678039237459,47.6927856513133
42.93,25,44.45648406366816,43.9290489748992
44.58,25,40.92587623883134,41.8685967799767
42.8,25,42.45274543226654,41.89467859977988
46.5,25,46.12081498462471,42.67247551049958
43.35,25,43.062242150351516,42.59509482196349
40.6,25,41.4876698751893,43.09935789488456
40.5,25,38.11325830976544,40.72013819443285
44.9,25,44.75141159705528,43.79994187933387
44.3,25,45.70678158813733,44.172498960470435
30.42,25,31.252903867018198,39.645612634803115
32.02,25,32.38124974811949,40.97445021800784
43.22,25,44.829230725216874,46.62489968687475
51.26,25,47.96894481541184,45.87981453253607
48.67,25,50.157924164478146,49.376019487917496
46.67,25,46.66542666272835,48.420872865094125
38.82,25,39.32831598200009,42.87149899061955
41.2,25,40.99309515693729,42.16230554654034
41.2,25,34.524497308153165,41.31895194152968
48.67,25,51.3837343594991,48.84420643909728
46.67,25,43.78830156082559,45.48250109625268
38.82,25,45.15628897031146,42.0960188305942
41.15,25,40.95707609688432,41.59711758765619
41.15,25,40.37350982715739,44.552752846323386
43.25,25,41.89595466355502,41.20136967256119
34.9,25,35.84634568748336,41.53034741925569
42.8,25,42.7463254211525,43.169323274509125
38.44,25,40.72411608364956,42.04458539991609
42.93,25,44.37905540020245,43.16853014744657
35.8,25,36.2045734510088,41.238502591069924
43.35,25,44.11201893889262,41.91470936801646
38.44,25,39.409886295158714,42.7560539268984
42.93,25,44.08633977750478,42.7055201386584
44.58,25,43.65860568237938,43.014571106598694
30.42,25,32.34914399365786,41.84025918374256
32.02,25,30.61501250389474,40.65353879293563
32.02,25,33.45787571084665,41.31417424138545
31.3,25,34.254134419960494,40.877220285969194
34.6,25,37.25267459075516,41.99732132242726
