true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
43.35,36.1,215,175,43.46828079223633,36.298038482666016,190.99639892578125,185.79736328125,25
40.5,28.0,85,175,46.26781463623047,33.43369674682617,190.12750244140625,159.32107543945312,25
34.5,29.1,225,110,46.476295471191406,32.92899703979492,190.9600067138672,161.9818878173828,25
31.7,29.3,195,180,43.05887222290039,35.76805877685547,189.503662109375,174.61099243164062,25
40.6,34.7,180,175,45.72514724731445,32.56257247924805,194.83778381347656,173.33851623535156,25
35.6,35.4,200,150,42.745155334472656,35.200138092041016,193.00985717773438,173.80714416503906,25
40.5,30.5,60,200,44.590484619140625,33.83983612060547,189.29428100585938,157.09312438964844,25
32.3,31.3,210,180,45.015480041503906,34.55681228637695,194.83543395996094,159.28369140625,25
37.7,34.6,210,175,45.208126068115234,36.68584060668945,192.04978942871094,172.6479034423828,25
40.5,28.0,200,150,44.580596923828125,37.11128234863281,184.6928253173828,164.06253051757812,25
34.5,29.1,210,200,45.075016021728516,36.58561325073242,191.23297119140625,172.65606689453125,25
31.7,29.3,205,175,46.15427017211914,36.31090545654297,207.4033203125,169.47979736328125,25
40.6,34.7,180,180,45.72514724731445,32.56257247924805,194.83778381347656,173.33851623535156,25
35.6,35.4,215,200,46.05373001098633,35.44572067260742,197.66726684570312,163.60604858398438,25
40.5,30.5,225,200,45.695194244384766,35.0551643371582,197.06265258789062,167.1007843017578,25
44.9,39.3,220,180,45.20596694946289,32.846595764160156,201.46273803710938,185.26329040527344,25
44.3,37.2,215,175,44.713539123535156,37.599273681640625,203.10470581054688,178.2364959716797,25
44.3,37.2,210,155,45.223228454589844,32.83536148071289,200.57400512695312,184.51058959960938,25
45.6,37.4,200,185,49.055389404296875,41.03505325317383,200.9949493408203,179.51190185546875,25
42.7,36.5,225,180,48.15306854248047,40.454071044921875,199.9495086669922,180.41366577148438,25
42.8,33.9,220,180,45.253273010253906,38.195281982421875,194.222412109375,180.42974853515625,25
44.0,39.6,220,185,46.11994934082031,37.259239196777344,193.20755004882812,175.28440856933594,25
36.9,34.7,200,190,45.702064514160156,35.05919647216797,188.35592651367188,157.75723266601562,25
39.2,35.3,190,180,46.05373001098633,35.44572067260742,197.66726684570312,163.60604858398438,25
43.7,39.2,190,130,52.51377868652344,44.967098236083984,205.19529724121094,154.11463928222656,25
46.0,39.2,190,180,43.64058303833008,35.800209045410156,194.3317413330078,180.74403381347656,25
42.7,38.7,230,180,44.07332229614258,36.398616790771484,200.31626892089844,188.08074951171875,25
46.7,38.1,210,185,43.39454650878906,36.362308502197266,196.6958770751953,174.95689392089844,25
39.7,31.6,215,185,43.05887222290039,35.76805877685547,189.503662109375,174.61099243164062,25
43.4,38.1,220,180,44.05120849609375,36.05010986328125,194.51129150390625,172.43492126464844,25
45.6,34.9,205,190,45.18240737915039,34.3690185546875,190.80477905273438,163.0197296142578,25
38.3,32.9,225,195,46.74195098876953,37.07160568237305,193.13314819335938,166.54234313964844,25
47.0,42.3,220,185,46.74195098876953,37.07160568237305,193.13314819335938,166.54234313964844,25
42.93,37.88,215,170,46.66242980957031,36.13471984863281,199.67770385742188,163.7369384765625,25
44.58,34.91,210,180,45.57844924926758,35.456085205078125,194.71624755859375,165.18788146972656,25
42.8,36.0,210,180,49.08671569824219,38.76945495605469,196.20274353027344,181.8956756591797,25
46.5,39.5,190,175,49.00942611694336,38.720970153808594,195.52806091308594,181.627685546875,25
43.35,36.1,215,175,44.53221130371094,37.511207580566406,189.02537536621094,177.29591369628906,25
40.6,34.7,180,180,45.19890213012695,36.21143341064453,190.21437072753906,170.3925323486328,25
40.5,30.5,225,200,46.064727783203125,35.868385314941406,197.3582305908203,162.44619750976562,25
44.9,39.3,220,180,46.1993522644043,37.08842849731445,193.24595642089844,176.34803771972656,25
44.3,37.2,215,175,48.91965103149414,40.952293395996094,200.56756591796875,179.50491333007812,25
30.42,25.83,215,205,47.68951416015625,36.551116943359375,190.12384033203125,167.88113403320312,25
32.02,22.18,200,200,46.39067459106445,35.81648254394531,190.92637634277344,169.62393188476562,25
43.22,40.27,200,175,47.253379821777344,37.921966552734375,207.9016571044922,174.49107360839844,25
51.26,40.27,190,175,46.891082763671875,41.17646789550781,195.6976318359375,175.50863647460938,25
48.67,45.99,195,170,46.1993522644043,37.08842849731445,193.24595642089844,176.34803771972656,25
46.67,41.35,210,200,44.94688415527344,35.55774688720703,205.20188903808594,162.78155517578125,25
38.82,35.52,210,175,45.19890213012695,36.21143341064453,190.21437072753906,170.3925323486328,25
41.2,36.55,220,175,44.9387092590332,34.922569274902344,183.6446990966797,162.41268920898438,25
41.2,28.4,180,180,45.19890213012695,36.21143341064453,190.21437072753906,170.3925323486328,25
48.67,45.99,190,118,44.45661544799805,35.633705139160156,181.82369995117188,159.7899627685547,25
46.67,41.35,230,180,45.70610809326172,35.086734771728516,188.23275756835938,157.6548614501953,25
38.82,35.52,180,110,43.06336212158203,34.47649383544922,177.10018920898438,162.9767608642578,25
41.15,34.5,205,180,43.918434143066406,37.33297348022461,186.53543090820312,169.55743408203125,25
41.15,34.5,225,180,45.24247360229492,36.86513137817383,189.22373962402344,168.34938049316406,25
43.25,33.8,205,175,45.304786682128906,38.115882873535156,191.21597290039062,174.513427734375,25
34.9,30.6,235,175,44.515647888183594,37.47319030761719,188.97552490234375,178.2198486328125,25
42.8,36.0,190,100,49.00942611694336,38.720970153808594,195.52806091308594,181.627685546875,25
38.44,34.3,170,215,45.16599655151367,38.074462890625,190.86378479003906,174.03689575195312,25
42.93,37.88,160,175,46.03002166748047,37.257606506347656,197.43606567382812,179.44094848632812,25
35.8,30.9,235,215,43.168678283691406,37.76948547363281,191.3477783203125,180.62554931640625,25
43.35,36.1,215,215,44.53221130371094,37.511207580566406,189.02537536621094,177.29591369628906,25
38.44,34.3,85,175,45.702064514160156,35.05919647216797,188.35592651367188,157.75723266601562,25
42.93,37.88,225,110,45.685848236083984,34.46145248413086,190.86419677734375,160.3019561767578,25
44.58,34.91,195,180,45.99180603027344,37.15327835083008,192.00592041015625,170.91578674316406,25
30.42,25.83,180,175,45.19890213012695,36.21143341064453,190.21437072753906,170.3925323486328,25
32.02,22.18,200,150,45.25092315673828,37.36204528808594,192.42771911621094,172.72186279296875,25
32.02,22.18,60,200,44.590484619140625,33.83983612060547,189.29428100585938,157.09312438964844,25
31.3,31.3,210,180,46.05373001098633,35.44572067260742,197.66726684570312,163.60604858398438,25
34.6,30.9,210,175,45.77598190307617,31.821151733398438,200.8941650390625,184.91162109375,25
38.0,36.1,200,150,41.86878967285156,37.02682113647461,174.0064239501953,170.3280487060547,25
39.1,34.3,210,200,45.81617736816406,31.861770629882812,199.87872314453125,183.7913818359375,25
38.44,34.3,195,180,44.988197326660156,34.35662841796875,195.69989013671875,166.09959411621094,25
48.67,45.99,190,180,44.45661544799805,35.633705139160156,181.82369995117188,159.7899627685547,25
43.35,36.1,170,175,45.16599655151367,38.074462890625,190.86378479003906,174.03689575195312,25
38.44,34.3,160,175,46.03002166748047,37.257606506347656,197.43606567382812,179.44094848632812,25
44.58,34.91,195,175,45.99180603027344,37.15327835083008,192.00592041015625,170.91578674316406,25
30.42,25.83,180,150,45.19890213012695,36.21143341064453,190.21437072753906,170.3925323486328,25
32.02,22.18,200,200,45.25092315673828,37.36204528808594,192.42771911621094,172.72186279296875,25
30.42,25.83,60,180,44.32572937011719,33.76044464111328,188.15159606933594,154.94906616210938,25
31.3,31.3,210,180,45.015480041503906,34.55681228637695,194.83543395996094,159.28369140625,25
34.6,25.83,210,175,45.208126068115234,36.68584060668945,192.04978942871094,172.6479034423828,25
28.0,22.18,200,150,40.117950439453125,35.634368896484375,174.98609924316406,175.6011505126953,25
29.1,20.27,210,200,45.075016021728516,36.58561325073242,191.23297119140625,172.65606689453125,25
