replicate,n_oob,R2,RMSE,MAE,MAPE
128,254,0.9031802558232169,3.3951788458878434,2.4455026299335,5.3940169707742855
129,252,0.9205817791554656,2.8972898708061536,2.009381097976443,4.401921704411343
130,247,0.9212182825419692,3.159214670398044,2.212633921131161,4.89355421229872
131,260,0.9265177266694128,3.024830868298264,2.158112125481012,4.768267885714543
132,255,0.9141328558244031,3.2942490075204667,2.387127452297054,5.255869698577988
133,247,0.9240553420061807,3.0277894891423016,2.1536272146859177,4.406255087881698
134,253,0.908075539112833,3.1747754466424225,2.3219426174316427,5.006545585196945
135,251,0.9039575209009222,3.210012691550445,2.363602025894106,5.068951728368853
136,259,0.9098249908191824,3.4601269776394887,2.4705513085398727,5.411313309175142
137,255,0.9224919274683293,3.2387152646757738,2.2724732710584714,4.8680406779541014
138,258,0.9120153193086596,3.0785850623448954,2.2057963143934103,4.652771003900517
139,256,0.9259150190202433,2.9733248903213796,2.1120115777980546,4.468357482230975
140,246,0.9318631630504117,2.9640335987702926,2.086841716084082,4.638770993605295
141,254,0.9142248314622037,3.0644983352224453,2.193737842356002,4.705870600349915
142,244,0.9261989971939294,3.0027043886582896,2.1065609498447238,4.6593703922949725
143,240,0.8979306427071013,3.490862371138091,2.4206938819418857,5.46407173921011
144,236,0.9269213586560141,2.922559678025219,2.1073123542951424,4.732809441917669
145,274,0.9026926920908612,3.2697100421790535,2.316295919774678,5.048587771178732
146,260,0.8925292508934847,3.293972539512874,2.3091816482061325,4.95161016546541
147,251,0.9082507396216815,3.3178130531387984,2.2563028530082065,4.9082883110773015
148,242,0.920356772515953,3.0190435671466846,2.203838898682285,4.839652960681855
149,250,0.9272900989081444,2.9674392700782604,2.1195150218539576,4.60449275592031
150,247,0.9099776302096165,3.233001848012891,2.242333712647982,4.894494198918012
151,243,0.9157323632579908,3.088516519895749,2.1647076255074356,4.6806136840617585
152,266,0.9061842337539326,3.341631393753872,2.3948928277945587,5.142850762273487
153,252,0.9243424861715375,3.1735482100439394,2.262163096324897,4.923151535816431
154,262,0.9266201277825605,2.8749077173574067,2.0590921854920006,4.418937822327119
155,261,0.9290306985492804,3.001870833493725,2.0784838061971076,4.484696492270436
156,259,0.9012211396705991,3.2067571053169157,2.209441980192077,4.72933248469633
157,241,0.8992800403335208,3.3312395052756076,2.382529341226898,5.241901625653619
158,252,0.9160476757333281,3.0429468009808156,2.0955545765007986,4.441236459646317
159,251,0.9133195090071697,3.190341345729588,2.3265022584252377,5.054079061960318
160,257,0.9123176939068418,3.230662616225881,2.3206317741667957,5.100566476086792
161,252,0.901289481721761,3.2842994892219792,2.4029524287261834,5.231681675513313
162,253,0.9276322816223082,2.8818424176394366,2.1168531759822438,4.688235160926929
163,234,0.9267773508122281,2.92984492748246,2.054292419807549,4.356919890768159
164,265,0.9198185313991382,3.027801652206031,2.1007016581060545,4.6214132572950195
165,243,0.9152632849312206,3.183628118280947,2.2545986570196708,4.89859130953206
166,256,0.9186169040463339,3.1248679981092193,2.1821165764572203,5.011850541282302
167,260,0.912100051279132,3.1950236521229893,2.2491052177214983,4.7733461491254365
168,252,0.9256775653172364,3.012540943975039,2.234703454590602,4.973672297770209
169,260,0.9130196737404982,3.1740510580261376,2.2454774710569074,4.84295722139737
170,250,0.9032275252589417,3.2421163722404067,2.137253104398983,4.718974759381112
171,252,0.9177244471789124,3.0889315440796246,2.267349620356229,4.838545304417912
172,261,0.91648786762894,3.1847690202554175,2.1944191397814956,4.733381779412646
173,262,0.9321795619311196,2.934127586904752,2.0786237766191005,4.67609659902496
174,249,0.9243229331385102,3.01499808409249,2.1562664003070457,4.852789600237735
175,247,0.9150418420928965,3.1468454422206755,2.2312425410455985,4.66759357138256
176,252,0.9099807776764319,3.245893224453635,2.3586806597920313,5.254877751796222
177,243,0.9235160356296835,3.0290867889097046,2.1403047875872225,4.984804167320086
178,260,0.9214123011606176,3.1174708887873597,2.1271876838279944,4.686018842392686
179,251,0.9090326397264918,3.328033117934188,2.4269852168457655,5.40024424619466
180,255,0.8900537125649084,3.5486571599913783,2.538558409484688,5.547715053060729
181,244,0.9077358820038347,3.2932731574527376,2.301279104309432,4.826000055969405
182,244,0.9204642536915378,3.243533447731857,2.2996618068156165,4.934983741452645
183,246,0.909519754807246,3.234155758168737,2.320678734203366,4.983812039902916
